二手房原始数据描述统计,,,,,,,,,
comment,tag,count,mean,std,min,25%,50%,75%,max
总价,t_price,65892,156.1152531,160.5497392,5.1,75,112,178,4000
近公园,park,65892,0.069386268,0.254111775,0,0,0,0,1
采光好,light,65892,0.454076367,0.497890331,0,0,0,1,1
车位,p_lot,65892,0.080980999,0.272808003,0,0,0,0,1
海景河景湖景,water,65892,0.037789109,0.190687295,0,0,0,0,1
近商圈,business,65892,0.065759121,0.247862444,0,0,0,0,1
交通方便（或近地铁）,transport,65892,0.233624719,0.423139371,0,0,0,0,1
税收优惠,l_tax,65892,0.265692345,0.441704521,0,0,0,1,1
室,hall,65892,2.829387483,0.874845421,0,2,3,3,12
厅,room,65892,1.72418503,0.496933865,0,1,2,2,7
面积（平米）,area,65892,109.7686633,40.30084357,15.38,86.09,104.74,129.87,642
朝向（东0\南1\西2\北3）,orientation,65892,0.979997572,0.536246507,0,1,1,1,3
装修（其它0\毛坯1\简装2\精装3）,furnishment,65892,1.979633339,1.091610944,0,1,2,3,3
所在高度（地下室0\底层1\低楼层2\中楼层3\高楼层4\顶层5）,level,65892,3.111788988,0.783169725,0,2,3,4,5
总楼层高,height,65892,18.48606811,10.68961789,1,7,18,29,68
建筑结构（平房0\板楼1\板塔结合2\塔楼3）,architecture,65892,1.618026468,0.771657138,0,1,1,2,3
关注人数,follower,65892,6.27598191,19.69837907,0,0,1,6,2630
发布时长（天）,span,65892,187.2460238,142.6161669,0,30,150,365,365
城市gdp,gdp,65892,7492.313862,8133.895419,150,2656.88,4748.06,8711.75,43214.85
所在地区（东北0\华北1\华东2\西北3\西南4\中南5）,region,65892,2.781126692,1.596412642,0,2,2,5,5
城市绿化率(%),green_rate,65892,42.13547198,4.010184342,19.99,40.82,42.34,44.06,57.12
市辖区城镇常驻人口(万人),c_population,65892,508.0650815,428.0052619,28.3,234,374,618,2229
建成区面积(平方公里),c_area,65892,367.561982,834.6174939,28.8,116,207,402,15500
水资源总量(万立方米),c_water_resources,65892,758647.0712,1029244.674,11370,176100,432900,908700,7668559
